Timestamp,Store,Dept,Model,Parameters,Train_Period,Test_Period,MAE,RMSE,MAPE
2025-05-21 22:32:03,1,1,NaiveForecast,{'method': 'last_value'},2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,12316.894807692308,13078.895816329083,61.604205645498155
2025-05-21 22:32:03,1,1,SeasonalNaiveForecast,"{'seasonal_period': 52, 'method': 'last_season_value'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,3615.8832692307697,7960.174286448782,15.370671889865456
2025-05-21 22:32:03,1,1,ETS (Best),{'error': 'Train series too short for ETS'},2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:03,1,1,SARIMA (auto),"{'seasonal_period': 52, 'error': 'Train series too short'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:03,1,1,Prophet,"{'seasonality_mode': 'multiplicative', 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'holidays_df_used': True, 'prophet_regressors_used': ['IsHoliday', 'Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Size', 'Year', 'Month_sin', 'Month_cos', 'WeekOfYear_sin', 'WeekOfYear_cos'], 'error_fitting_or_prediction': 'arg must be a list, tuple, 1-d array, or Series'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:04,1,2,NaiveForecast,{'method': 'last_value'},2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,5221.078653846153,6473.916326444883,10.619627330868067
2025-05-21 22:32:04,1,2,SeasonalNaiveForecast,"{'seasonal_period': 52, 'method': 'last_season_value'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,1891.5667307692308,2581.609897482353,3.9578758553882034
2025-05-21 22:32:04,1,2,ETS (Best),{'error': 'Train series too short for ETS'},2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:04,1,2,SARIMA (auto),"{'seasonal_period': 52, 'error': 'Train series too short'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:04,1,2,Prophet,"{'seasonality_mode': 'multiplicative', 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'holidays_df_used': True, 'prophet_regressors_used': ['IsHoliday', 'Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Size', 'Year', 'Month_sin', 'Month_cos', 'WeekOfYear_sin', 'WeekOfYear_cos'], 'error_fitting_or_prediction': 'arg must be a list, tuple, 1-d array, or Series'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:04,4,10,NaiveForecast,{'method': 'last_value'},2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,5530.1934615384625,6606.229523689977,13.075364784836948
2025-05-21 22:32:04,4,10,SeasonalNaiveForecast,"{'seasonal_period': 52, 'method': 'last_season_value'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,4425.744807692307,5350.620337729542,10.73555440272434
2025-05-21 22:32:04,4,10,ETS (Best),{'error': 'Train series too short for ETS'},2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:04,4,10,SARIMA (auto),"{'seasonal_period': 52, 'error': 'Train series too short'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
2025-05-21 22:32:04,4,10,Prophet,"{'seasonality_mode': 'multiplicative', 'yearly_seasonality': True, 'weekly_seasonality': False, 'daily_seasonality': False, 'holidays_df_used': True, 'prophet_regressors_used': ['IsHoliday', 'Temperature', 'Fuel_Price', 'CPI', 'Unemployment', 'MarkDown1', 'MarkDown2', 'MarkDown3', 'MarkDown4', 'MarkDown5', 'Size', 'Year', 'Month_sin', 'Month_cos', 'WeekOfYear_sin', 'WeekOfYear_cos'], 'error_fitting_or_prediction': 'arg must be a list, tuple, 1-d array, or Series'}",2010-02-05 to 2011-10-28,2011-11-04 to 2012-10-26,,,
